Clusters,Documents ,Keywords,
0,"doc4, doc14, doc12, doc28, doc8, doc26, doc13, doc10","Ni–H systems, Transmutation, Low-energy-nuclear-reactions,Alloys, Graphite, High-voltage",
1,"doc15, doc16, doc11, doc7, doc3, doc17, doc22, doc30, doc29","WKB approximation, LENR, plasma electrolysis, pyrolysis, hydrogen generation, transmutation",
2,"doc5, doc9, doc32, doc25, doc1, doc31, doc27, doc18, doc23, doc20, doc24, doc2, doc19","LENR, Transmutation, Electrolysis, fusion",
,,,
Clusters,Documents,Title,Abstract
0,doc4.pdf,"MATERIALS ISSUES OF LOADING DEUTERIUM INTO PALLADIUM AND THE ASSOCIATION WITH EXCESS HEAT PRODUCTION M.C.H. McKubre and F. L. Tanzella SRI International, 333 Ravenswood Avenue, Menlo Park, CA Abstract The ability of palladium cathodes to attain and maintain high loading levels, at high","
the ability of palladium cathodes to attain and maintain high loading levels, at high
current density and for long times, is controlled by two factors: the condition of the
electrochemical interface which allows the attainment of high deuterium activity; the defect
density and mechanical condition of the bulk material which permits the pd lattice to withstand
and contain high bulk deuterium activities when these equilibrate to produce extreme pressures of
deuterium gas inside closed incipient voids within the metal.
examples are given from a set of 26 intentionally similar current ramps which show
three distinct modes of loading performance: mode a - a linear decrease of pd resistance,
beyond the resistance maximum, with logarithmic increase in electrochemical current; mode b -an
initial log-linear decrease on the mode a trajectory, followed by a rapid increase in resistance
when the resistance falls below a critical value; mode c - a shallow decrease in resistance with
approximately symmetric increase as the [log] current density is increased beyond a threshold
value similar to that for mode b. mode a is most frequently associated with the appearance of
calorimetrically determined excess heat.
"
0,doc16.pdf,"Nuclear Physics Approach Anomalous Phenomena in E<18 KeV Hydrogen Ion Beam Implantation Experiments on Pd and Ti WANG Tieshan* PIAO Yubo** HAO Jifang* WANG Xuezhi** JIN Genming* and NIU Zhanqi** *Institute of Modern Physics, Chinese Academy of Sciences Lanzhou 730000, P.R. China","
implantation experiments of very low energy (lkev <e<18kev ) hydrogen ions on hydrogen
loaded metals have been performed with high beam density (jmax.~1.2 mncm2) and weak beam
density (j min.~ 0.02 mncm2). palladium and titanium foils (plates) have been bombarded with proton
and deuteron beams in order to compare the atomic and nuclear interactions between different ion
beams. x ray and charged particles have been measured, and neutron and gamma doses were also
monitored during implanting experiments. an anomalous peak in x-spectra, which energy is about
four times of beam energy, has been observed during high beam density experiment. the peak moved
from about 40 kev to 62 kev and fwhm reduced rapidly, while the beam energy and intensity
increased. another wide peak with over twice of the beam energy has been measured in experiment
with low beam density. this peak located between 16 and 30 kev, and its peak position grew with the
growth of integrated implantation dose (implantation time). some anomalous intensities of neutrons
correlated with a charged particle peak (3-4 mev) have been also observed in deuteron-palladium
experiment. the highest neutron intensity reached about 8 x 104n/s, while the beam energy and
intensity was about 15 ke v and 1.0 ma, respectively.
"
0,doc14.pdf,SEARCH FOR COHERENT DEUTERON FUSION BY BEAM AND ELECTROLYSIS EXPERIMENTS,"] procedures and results of three kinds of experiments i.e., closed type d o/pd electrolysis,
2
electron beam irradiation and ion-beam bombardment on titanium-deuteride (tidx) have been
introduced in this paper. in the electrolysis experiment, upper gas of the electrolysis cell was analyzed
using a quadrupole mass analysis system (q-mas). significant amount of helium-4 was detected
without neutron emission in several experiments and in one of these experiments, the amount of
helium-4 atom in the released gas from the palladium cathode was 8.1x1016 atoms. under electron
beam irradiation to highly d-loaded palladium, anomalous spectra were taken in x-ray measurement.
in the experiments using deuteron beam and tidx, responses which suggested 3d multi-body fusion
were taken and the reaction rate of which was increased compared to the d(d,p)t reaction rate, below
100 kev. this result may reflect the coherent effect of the solid state in the reactions. from the results
of the experiments using proton beam and tidx, peaks which suggested 3d multi-body reaction were
detected with high reproducibility. moreover, high energetic protons having 17-20 mev emitted
kinetic energy which suggested h-d-d three-body coherent fusion were also detected.
"
0,doc25.pdf,Femto-Helium and PdD Transmutation,"
extensive evidence exists for cold fusion to produce transmutation products as well as excess heat. this paper deals with the
palladium–deuteride (pdd) structure that is generally modeled with a deuterium-to-helium (d + d 4he) cold-fusion process.
⇒
how this process results in transmutation is based on the extended-lochon model that predicts deep-orbit electrons that are tightly
bound to the 4he nucleus and thus make the equivalent of a neutralized alpha particle. this model is compared with the nih system
(h + h d, h##, or 2h#) described earlier and distinguishes long-range from short-range transmutation (distance from the fusion
⇒ 2
site) as well as the relative excess energies from fusion vs. transmutation. the model predicts the probable transmutation process(es)
and products in the palladium system and explains other observed results of cold-fusion experiments.
© 2015 iscmns. all rights reserved. issn 2227-3123
"
0,doc11.pdf,Integrated approach for high resolution surface characterization: coupling focused ion beam with micro and nano mechanical tests.,". in the present paper, we will give a brief overview about the synergic use of two high
resolution techniques with focus on applications on thin coatings: focused ion beam (coupled
with electron beam) imaging, milling and deposition technique (briefly called fib) and
nanoindentation. after a basic description of both techniques (architecture, probe-sample
interaction basics and operation modes), we will demonstrate effectiveness of this approach for
microstructural investigation on very small samples without any sample preparation or pre-
processing by presenting two case studies:
(i) analysis of residual stresses of engineered surfaces by coupling focused ion beam controlled
material removal and nanoindentation testing, and
(ii) nano-mechanical characterization of sputtered niobium thin films for application in
accelerating cavities.
"
